iter	RMSE
0	0.8325703375
1	0.7094578675
2	0.6580790023
3	0.6361354589
4	0.6220798885
5	0.6144281087
6	0.6084536424
7	0.6046789252
8	0.6005714133
9	0.5975033434
10	0.593902001
11	0.5915412979
12	0.5905596453
13	0.5877687893
14	0.5855355386
15	0.5831574489
16	0.5817524569
17	0.5805139633
18	0.5790629654
19	0.578048656
20	0.576549403
21	0.575689955
22	0.5741454991
23	0.5722651832
24	0.5712356144
25	0.5694135504
26	0.5684759117
27	0.5674963573
28	0.5663017524
29	0.5655731233
30	0.5646267795
31	0.5632179326
32	0.5616640794
33	0.5606483555
34	0.5595123331
35	0.5585651202
36	0.5576397638
37	0.5566352621
38	0.5550276685
39	0.5535983057
40	0.5518874885
41	0.5511118824
42	0.5498995797
43	0.5489120609
44	0.5479649223
45	0.5474381862
46	0.5466730476
47	0.5455583674
48	0.5449074386
49	0.5446492533
50	0.5440140893
51	0.5433519475
52	0.542672004
53	0.5414933687
54	0.5406147791
55	0.5401036058
56	0.5395522951
57	0.5385531859
58	0.5375905473
59	0.5368052853
60	0.5357655936
61	0.5353796325
62	0.534549917
63	0.5339416231
64	0.5333691281
65	0.5329131912
66	0.5318145869
67	0.5315018255
68	0.5309208669
69	0.5304454423
70	0.529498005
71	0.5288078271
72	0.5284024618
73	0.5281509254
74	0.5274455005
75	0.5268660423
76	0.526518983
77	0.5254768568
78	0.5245613103
79	0.5241765287
80	0.5236513255
81	0.52322205
82	0.5226801288
83	0.5218449803
84	0.5209389748
85	0.5202512177
86	0.5195821273
87	0.5190578892
88	0.5183932221
89	0.5179953004
90	0.5175396875
91	0.5168220256
92	0.5159662774
93	0.5158497933
94	0.5152599472
95	0.5143976748
96	0.5138799233
97	0.5130889296
98	0.5125205933
99	0.5117917396
100	0.5110902956
101	0.510305848
102	0.5097235003
103	0.5092442725
104	0.5088017201
105	0.5081441385
106	0.5077962287
107	0.5073281146
108	0.5070679475
109	0.5062992744
110	0.5057931557
111	0.5051856262
112	0.5049594511
113	0.5044177024
114	0.5036485794
115	0.5028917614
116	0.5023385344
117	0.5020987657
118	0.5015746838
119	0.501231038
120	0.5009740903
121	0.5007717486
122	0.5005430485
123	0.5002351299
124	0.4998375951
125	0.4993406484
126	0.499122572
127	0.4980519742
128	0.497284032
129	0.497088601
130	0.4967234201
131	0.4958886703
132	0.4952560685
133	0.4949169279
134	0.4946655056
135	0.4941422283
136	0.4937626234
137	0.4933986698
138	0.4924710207
139	0.4918795063
140	0.491381184
141	0.4905402694
142	0.4901038741
143	0.4894767422
144	0.4890263362
145	0.4887255626
146	0.4883088087
147	0.4877217629
148	0.4873231234
149	0.4870022013
150	0.4864997909
151	0.4858490524
152	0.4854093963
153	0.4849007236
154	0.4842120299
155	0.4838136667
156	0.4835113588
157	0.4826881351
158	0.4823928547
159	0.4822704642
160	0.4820906241
161	0.4815721516
162	0.4810157825
163	0.4805610409
164	0.4801714486
165	0.479934524
166	0.4797802465
167	0.4793135513
168	0.4791167109
169	0.4784678096
170	0.4776578918
171	0.4772667511
172	0.4767701336
173	0.4762558195
174	0.4757467949
175	0.4754583105
176	0.4751990386
177	0.4749712671
178	0.4747539874
179	0.4745891536
180	0.4741989345
181	0.4732098996
182	0.4726872414
183	0.4722820226
184	0.4718451531
185	0.4714323213
186	0.4710173834
187	0.4704186168
188	0.4701581941
189	0.4696959438
190	0.4691510688
191	0.4690365567
192	0.468650921
193	0.4685013053
194	0.4683286455
195	0.4680390163
196	0.4678164866
197	0.4671605658
198	0.46660148
199	0.4663516123
200	0.4660215498
201	0.4658253531
202	0.4654845282
203	0.4651207061
204	0.4647603969
205	0.4645482376
206	0.4643622746
207	0.4639430562
208	0.4637885657
209	0.4633232265
210	0.4629079915
211	0.4626363631
212	0.4622689617
213	0.4621364015
214	0.4619988441
215	0.4617181871
216	0.4615436254
217	0.4611918292
218	0.4609319411
219	0.4607383339
220	0.460350674
221	0.4601089238
222	0.4596846881
223	0.4592358043
224	0.4587677021
225	0.4583551
226	0.458141025
227	0.4578607843
228	0.4574013955
229	0.4570691357
230	0.4567818266
231	0.4565385848
232	0.456365884
233	0.4561837179
234	0.4560905857
235	0.4556146413
236	0.4554685588
237	0.4553793579
238	0.4550418686
239	0.4548321322
240	0.4545853207
241	0.4536834373
242	0.4534601517
243	0.4530779417
244	0.4529810171
245	0.4526039528
246	0.4523561014
247	0.4521132915
248	0.4519654576
249	0.4516220657
250	0.4514980744
251	0.4512940578
252	0.4509220192
253	0.4506340096
254	0.450342786
255	0.4498896614
256	0.44970402
257	0.4492836047
258	0.4490530447
259	0.4486847184
260	0.4485311747
261	0.4479958316
262	0.4477888022
263	0.4474820434
264	0.4471530695
265	0.446767279
266	0.4463906445
267	0.4460395502
268	0.4455627774
269	0.4454277493
270	0.4452757704
271	0.4449758344
272	0.4447404009
273	0.4440040276
274	0.4436897009
275	0.4431894196
276	0.4430504857
277	0.4428436934
278	0.4426365677
279	0.442455722
280	0.4420312567
281	0.4417372621
282	0.44140011
283	0.4411517046
284	0.4408097808
285	0.4407705824
286	0.4405154159
287	0.440177082
288	0.4400489793
289	0.4398220886
290	0.4397684045
291	0.4394957996
292	0.4390577455
293	0.4388592367
294	0.4386316944
295	0.4382598366
296	0.4379232026
297	0.4377177012
298	0.437482737
299	0.4371909507
300	0.4371055511
301	0.4368521733
302	0.4365014511
303	0.4362545855
304	0.4360925732
305	0.435954201
306	0.4358663039
307	0.4354294851
308	0.4350343771
309	0.4348531506
310	0.4346696042
311	0.4344373762
312	0.4342264163
313	0.4340047301
314	0.4339082158
315	0.4334506651
316	0.4333299687
317	0.4330882771
318	0.4328404876
319	0.4327199002
320	0.4324764893
321	0.4323103593
322	0.4321721139
323	0.432025404
324	0.4317978007
325	0.4315355062
326	0.4314528085
327	0.4310139254
328	0.4308828968
329	0.4303618587
330	0.4300282686
331	0.4298605397
332	0.4295710613
333	0.4295145628
334	0.4292428794
335	0.4289668242
336	0.4288864948
337	0.428637187
338	0.4284127186
339	0.4283136766
340	0.4280133795
341	0.4278379266
342	0.4275656294
343	0.4271315745
344	0.4269257609
345	0.4268042504
346	0.4265937577
347	0.4264687496
348	0.4261478825
349	0.4258305975
350	0.4258004935
351	0.4254408604
352	0.4251963449
353	0.4250633657
354	0.4247655732
355	0.424572648
356	0.4245465633
357	0.4243406808
358	0.4240612226
359	0.423709621
360	0.4235762953
361	0.4232915611
362	0.4229403784
363	0.4227488457
364	0.4224378904
365	0.4222995456
366	0.4220929125
367	0.4218810508
368	0.4216943747
369	0.4215162497
370	0.4212166458
371	0.4208697704
372	0.4205754172
373	0.4204696739
374	0.420262882
375	0.4200458641
376	0.419844289
377	0.4196646718
378	0.4196059234
379	0.4193730856
380	0.4191761093
381	0.4190084802
382	0.4187401566
383	0.418687733
384	0.41847745
385	0.4181905007
386	0.4179739375
387	0.4178343391
388	0.4177383861
389	0.4174817353
390	0.4173110098
391	0.4170470823
392	0.4169815652
393	0.4167279548
394	0.4163313573
395	0.4162015837
396	0.4160700661
397	0.4159725688
398	0.4158588547
399	0.4155393953
400	0.4154361349
401	0.4151454527
402	0.414986463
403	0.4149042155
404	0.4148495114
405	0.4147625452
406	0.4146677235
407	0.4143381115
408	0.4140987335
409	0.4139916401
410	0.4139595438
411	0.4138186793
412	0.4135030865
413	0.4132264931
414	0.4131649957
415	0.4130077606
416	0.4127446736
417	0.4123518713
418	0.4122849366
419	0.4121682725
420	0.4120189964
421	0.4118411878
422	0.4117883471
423	0.411700076
424	0.4114604347
425	0.4113309254
426	0.4111117645
427	0.4109269359
428	0.410816658
429	0.4105970611
430	0.4105232357
431	0.4103186054
432	0.4101441387
433	0.4100146302
434	0.4098986939
435	0.4096768714
436	0.4095349087
437	0.4093586895
438	0.4090340692
439	0.4089913042
440	0.4087162376
441	0.408365305
442	0.4083065594
443	0.4082511554
444	0.4077720338
445	0.4075002792
446	0.4073526658
447	0.4069762302
448	0.4068205751
449	0.4067340804
450	0.4066675488
451	0.4064109155
452	0.4062648113
453	0.4059666837
454	0.4057911686
455	0.4055412844
456	0.405430702
457	0.405281988
458	0.4051713119
459	0.4048269781
460	0.4045958293
461	0.4043387597
462	0.4042594061
463	0.4039679336
464	0.4037828362
465	0.4036177675
466	0.4034279532
467	0.4032669117
468	0.4031050153
469	0.403002609
470	0.4027945643
471	0.4025820022
472	0.4024899678
473	0.4023889827
474	0.4023115089
475	0.4022648602
476	0.4021088801
477	0.4019069585
478	0.4016620948
479	0.4014999987
480	0.4013304445
481	0.4011431724
482	0.4010704235
483	0.4009360368
484	0.4006786848
485	0.400558264
486	0.4004662484
487	0.4002882888
488	0.4000986857
489	0.3999955702
490	0.399915437
491	0.3997533907
492	0.3995217195
493	0.399308458
494	0.3992279107
495	0.3989219981
496	0.3988787526
497	0.3987425481
498	0.3986541966
499	0.3985137838
500	0.3983395882
501	0.3980045559
502	0.3978233394
503	0.3975698768
504	0.397446298
505	0.3970055001
506	0.3969128293
507	0.3966763032
508	0.3964602368
509	0.3963301044
510	0.3961149088
511	0.3960114906
512	0.3958576255
513	0.3956452245
514	0.3951203701
515	0.3949990016
516	0.3948783995
517	0.3947631288
518	0.3946575117
519	0.3942484979
520	0.3941064359
521	0.3940744264
522	0.3938304631
523	0.3937398094
524	0.3936420112
525	0.3934287185
526	0.3932610356
527	0.3929066674
528	0.3927867455
529	0.3925118152
530	0.3924474558
531	0.3923057852
532	0.39225315
533	0.392212763
534	0.3920354683
535	0.3918939757
536	0.3917789588
537	0.3917166609
538	0.391646476
539	0.3913851401
540	0.3912217385
541	0.390957778
542	0.3908676943
543	0.3907282166
544	0.3905902665
545	0.3905071371
546	0.3904408062
547	0.3902685373
548	0.3902329171
549	0.3901216625
550	0.3900307441
551	0.3899827387
552	0.3895448038
553	0.3894238041
554	0.389180013
555	0.3888728588
556	0.3884569311
557	0.3883011024
558	0.3881902052
559	0.3880561344
560	0.3879865405
561	0.3879320309
562	0.3877585347
563	0.3876862579
564	0.3876278936
565	0.3875071694
566	0.387105586
567	0.3870180438
568	0.3867201629
569	0.3865837232
570	0.38654112
571	0.386368746
572	0.386313374
573	0.3862313523
574	0.3859424723
575	0.3858604835
576	0.3857673119
577	0.3855929013
578	0.3854951862
579	0.3853800954
580	0.3851560223
581	0.3850295125
582	0.3848306608
583	0.3847962898
584	0.3847237399
585	0.3844828505
586	0.3843520279
587	0.3841262084
588	0.3840751878
589	0.3840207262
590	0.3838852783
591	0.3838227181
592	0.3836710177
593	0.383420291
594	0.3833444052
595	0.3833019755
596	0.3831105861
597	0.3830461702
598	0.3828738818
599	0.3827449375
600	0.3826137151
601	0.3824370055
602	0.3822279941
603	0.3821336886
604	0.3820264478
605	0.3819079061
606	0.3817776395
607	0.3816245246
608	0.3814127896
609	0.3813054507
610	0.3811278749
611	0.3810847432
612	0.3809831549
613	0.3809275762
614	0.3806948664
615	0.3806783328
616	0.3804347101
617	0.3803195491
618	0.3802346591
619	0.3801220526
620	0.3800372307
621	0.3799211708
622	0.379865621
623	0.3796727136
624	0.3795483095
625	0.3794090206
626	0.3792944075
627	0.3790713428
628	0.37896977
629	0.3788392064
630	0.3786082888
631	0.3783497961
632	0.3781962951
633	0.3781194496
634	0.3780062346
635	0.3777111926
636	0.3774933868
637	0.3774156846
638	0.377302595
639	0.3772404272
640	0.3771614383
641	0.3770398103
642	0.3770083312
643	0.376795245
644	0.3765807179
645	0.3764697096
646	0.3763699333
647	0.376211713
