iter	Passed	Remaining
401	24136	216026
402	24228	216251
403	24300	216295
404	24356	216205
405	24417	216150
406	24475	216070
407	24534	215997
408	24597	215966
409	24668	216001
410	24740	216039
411	24787	215865
412	24839	215738
413	24895	215644
414	24949	215528
415	25008	215457
416	25065	215370
417	25135	215392
418	25206	215425
419	25280	215484
420	25351	215518
421	25403	215386
422	25473	215413
423	25544	215442
424	25630	215596
425	25680	215454
426	25750	215472
427	25815	215453
428	25873	215369
429	25922	215213
430	25973	215083
431	26021	214918
432	26078	214831
433	26145	214823
434	26214	214841
435	26270	214739
436	26334	214717
437	26385	214575
438	26453	214579
439	26525	214617
440	26593	214619
441	26652	214549
442	26723	214569
443	26779	214474
444	26854	214531
445	26900	214360
446	26978	214443
447	27051	214482
448	27116	214459
449	27172	214360
450	27234	214312
451	27270	214062
452	27344	214110
453	27415	214129
454	27477	214083
455	27536	214012
456	27610	214060
457	27663	213935
458	27717	213829
459	27789	213856
460	27852	213817
461	27906	213704
462	27961	213609
463	28010	213458
464	28057	213299
465	28129	213327
466	28178	213176
467	28217	212957
468	28286	212966
469	28342	212868
470	28391	212723
471	28442	212592
472	28510	212595
473	28550	212380
474	28616	212361
475	28661	212188
476	28731	212207
477	28777	212041
478	28842	212010
479	28898	211924
480	28977	212002
481	29036	211930
482	29094	211851
483	29153	211783
484	29211	211706
485	29260	211569
486	29310	211433
487	29372	211387
488	29442	211394
489	29502	211334
490	29561	211265
491	29612	211138
492	29686	211179
493	29745	211111
494	29818	211138
495	29879	211085
496	29938	211014
497	30000	210970
498	30059	210899
499	30103	210727
500	30168	210700
501	30215	210543
502	30275	210485
503	30335	210424
504	30397	210377
505	30461	210339
506	30514	210230
507	30570	210145
508	30623	210031
509	30674	209910
510	30729	209814
511	30791	209770
512	30850	209696
513	30919	209700
514	30991	209719
515	31063	209737
516	31139	209785
517	31190	209661
518	31247	209579
519	31326	209648
520	31375	209512
521	31438	209469
522	31505	209452
523	31568	209413
524	31631	209369
525	31690	209301
526	31746	209214
527	31803	209129
528	31861	209057
529	31914	208947
530	31970	208862
531	32050	208931
532	32123	208954
533	32192	208949
534	32249	208866
535	32306	208789
536	32369	208741
537	32421	208631
538	32482	208575
539	32553	208585
540	32614	208524
541	32671	208446
542	32707	208230
543	32767	208169
544	32801	207945
545	32844	207775
546	32908	207740
547	32969	207684
548	33019	207558
549	33100	207628
550	33165	207597
551	33233	207591
552	33299	207566
553	33345	207416
554	33415	207418
555	33474	207350
556	33538	207311
557	33602	207277
558	33652	207152
559	33697	206996
560	33733	206789
561	33792	206726
562	33855	206683
563	33924	206677
564	33979	206582
565	34043	206546
566	34095	206435
567	34166	206440
568	34241	206470
569	34309	206456
570	34373	206421
571	34431	206348
572	34490	206279
573	34536	206137
574	34591	206043
575	34668	206087
576	34728	206026
577	34777	205897
578	34830	205796
579	34899	205786
580	34949	205666
581	35011	205616
582	35068	205541
583	35112	205384
584	35157	205235
585	35223	205211
586	35276	205108
587	35347	205108
588	35418	205112
589	35483	205082
590	35523	204908
591	35584	204850
592	35635	204740
593	35688	204639
594	35728	204460
595	35791	204417
596	35843	204315
597	35900	204239
598	35958	204167
599	36009	204052
600	36078	204043
601	36144	204020
602	36196	203911
603	36245	203793
604	36306	203734
605	36363	203661
606	36430	203638
607	36489	203571
608	36561	203581
609	36608	203446
610	36666	203377
611	36719	203279
612	36776	203199
613	36839	203158
614	36887	203031
615	36956	203019
616	37029	203029
617	37082	202931
618	37140	202864
619	37207	202843
620	37255	202715
621	37312	202638
622	37373	202585
623	37432	202518
624	37503	202518
625	37546	202368
626	37611	202332
627	37666	202247
628	37721	202161
629	37761	201993
630	37808	201864
631	37869	201811
632	37929	201749
633	37994	201720
634	38058	201677
635	38112	201586
636	38177	201555
637	38236	201488
638	38301	201458
639	38341	201294
